x_initial,y_initial,u_deplacement,v_deplacement,magnitude,direction
1051.0,974.0,2.723999,3.6777954,4.5767183,0.9332991
1046.0,1010.0,2.7434082,3.6755981,4.586536,0.92961335
1059.0,964.0,2.7163086,3.6409302,4.542544,0.9298293
1078.0,972.0,2.7390137,3.6611938,4.5723667,0.9284993
1073.0,1007.0,2.7548828,3.6433716,4.5676622,0.92338
1053.0,1023.0,2.7371826,3.677246,4.5841365,0.9309167
1128.0,955.0,2.7596436,3.531311,4.4817176,0.90745145
1060.0,1011.0,2.7520752,3.6611938,4.580203,0.9262158
1060.0,1022.0,2.7487793,3.6706543,4.5857925,0.9280299
1121.0,965.0,2.7508545,3.5957031,4.5272818,0.9177393
1068.0,963.0,2.7105713,3.6403198,4.5386257,0.9307621
1100.0,1007.0,2.7729492,3.5895996,4.535909,0.9130529
1104.0,967.0,2.7474365,3.6484985,4.5672693,0.9253575
912.0,698.0,4.8651123,2.6669312,5.548138,0.5014407
945.0,696.0,2.508789,2.8447876,3.7929986,0.8480775
1054.0,1033.0,2.736084,3.6655273,4.5740843,0.9295797
1086.0,965.0,2.736206,3.6499634,4.561694,0.92751735
1085.0,1009.0,2.760254,3.6125488,4.5463734,0.91834867
1059.0,1048.0,2.7697754,3.668335,4.596557,0.9240712
1082.0,1025.0,2.7650146,3.6115723,4.54849,0.91738665
1104.0,1030.0,2.7840576,3.590332,4.5432873,0.91121656
1049.0,1038.0,2.7333984,3.6721191,4.577764,0.9309111
1094.0,964.0,2.7282715,3.6519165,4.558504,0.92916703
1044.0,1024.0,2.741211,3.6901855,4.5969234,0.93189454
1113.0,958.0,2.7445068,3.5983276,4.525514,0.91920567
1097.0,1019.0,2.7736816,3.5958252,4.541285,0.91376334
1072.0,1040.0,2.7720947,3.6401367,4.5754895,0.91995305
1045.0,969.0,2.727539,3.644043,4.5517597,0.9282607
1069.0,1022.0,2.75708,3.6586914,4.581213,0.9250143
1105.0,715.0,4.561035,3.9672241,6.0449905,0.7158817
956.0,710.0,2.3638306,3.003296,3.8219736,0.90398395
1077.0,965.0,2.7312012,3.626892,4.540243,0.9253513
1108.0,1017.0,2.7805176,3.5853882,4.5372114,0.9111654
966.0,441.0,11.886536,6.387146,13.493901,0.4930738
984.0,707.0,2.5483398,2.8117065,3.7946975,0.8344938
965.0,709.0,2.5567627,2.8844604,3.854497,0.84555054
